"","name","year","F","M","greatermale"
"558","Abdullahi",2016,0,1258,TRUE
"559","Abdullatif",2015,0,34,TRUE
"560","Abdulloh",2016,0,32,TRUE
"561","Abdulmajeed",2016,0,27,TRUE
"562","Abdulmajid",2015,0,21,TRUE
"563","Abdulmalek",2010,0,5,TRUE
"564","Abdulmalik",2016,0,407,TRUE
"565","Abdulmohsen",2015,0,16,TRUE
"566","Abdulnasir",2011,0,5,TRUE
"567","Abdulqadir",2016,0,38,TRUE
"568","Abdulraheem",2016,0,98,TRUE
"569","Abdulrahim",2014,0,87,TRUE
"570","Abdulrahman",2016,0,1980,TRUE
"571","Abdulrazaq",2015,0,5,TRUE
"572","Abdulrehman",2015,0,55,TRUE
"573","Abdulrhman",2014,0,28,TRUE
"574","Abdulsalam",2016,0,35,TRUE
"575","Abdulsamad",2016,0,20,TRUE
"576","Abdulwadud",2010,0,5,TRUE
"577","Abdulwahab",2016,0,134,TRUE
"578","Abdulwahid",2016,0,18,TRUE
"579","Abdulwali",2016,0,6,TRUE
"580","Abdur",2016,0,249,TRUE
"581","Abdurahman",2016,0,312,TRUE
"582","Abdurahmon",2015,0,5,TRUE
"583","Abdurraheem",2015,0,22,TRUE
"584","Abdurrahim",2002,0,27,TRUE
"585","Abdurrahmaan",2002,0,5,TRUE
"586","Abdurrahman",2016,0,736,TRUE
"587","Abdurrehman",2014,0,30,TRUE
"588","Abdussamad",2005,0,6,TRUE
"589","Abe",2016,0,9079,TRUE
"590","Abeal",1998,0,5,TRUE
"591","Abed",2016,0,193,TRUE
"592","Abedallah",2006,0,16,TRUE
"593","Abedalrahman",2007,0,11,TRUE
"594","Abednego",2016,0,59,TRUE
"595","Abeeha",2016,94,0,FALSE
"596","Abeer",2016,518,37,FALSE
"597","Abeera",2016,45,0,FALSE
"598","Abegail",2016,485,0,FALSE
"599","Abegale",2004,5,0,FALSE
"600","Abegayle",2012,23,0,FALSE
"601","Abel",2016,113,47412,TRUE
"602","Abela",2016,17,0,FALSE
"603","Abelardo",2016,0,4320,TRUE
"604","Abelina",2016,512,0,FALSE
"605","Abelino",2016,0,831,TRUE
"606","Abell",1917,5,0,FALSE
"607","Abell",2016,0,18,TRUE
"608","Abella",2016,642,0,FALSE
"609","Abem",2016,0,54,TRUE
"610","Aben",2015,0,22,TRUE
"611","Abena",2016,564,0,FALSE
"612","Abenezer",2016,0,142,TRUE
"613","Abeni",2014,360,0,FALSE
